event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_103520.mat,455909,0.455909,1,165.0,0.1252958439229941
1,20221018_103520.mat,455909,0.455909,2,295.0,0.11426547987040614
1,20221018_103520.mat,455909,0.455909,3,345.0,0.09124677213677529
2,20221018_103520.mat,469640,0.46964,1,160.0,0.3090508703757395
2,20221018_103520.mat,469640,0.46964,2,135.0,0.1718602088110719
2,20221018_103520.mat,469640,0.46964,3,335.0,0.06269608292709566
3,20221018_103520.mat,469839,0.469839,1,160.0,0.08568152427056629
3,20221018_103520.mat,469839,0.469839,2,120.0,0.04643335930081682
3,20221018_103520.mat,469839,0.469839,3,215.0,0.021252547527230752
4,20221018_103520.mat,646750,0.64675,1,170.0,0.08173378764644858
4,20221018_103520.mat,646750,0.64675,2,345.0,0.01686776076429471
4,20221018_103520.mat,646750,0.64675,3,465.0,0.016144793429891877
5,20221018_103520.mat,951220,0.95122,1,165.0,0.06387310872760257
5,20221018_103520.mat,951220,0.95122,2,250.0,0.021996910172899613
5,20221018_103520.mat,951220,0.95122,3,215.0,0.018890889690950863
6,20221018_103520.mat,1021666,1.021666,1,165.0,0.07090773673513052
6,20221018_103520.mat,1021666,1.021666,2,315.0,0.025771833226283562
6,20221018_103520.mat,1021666,1.021666,3,190.0,0.025187031949879757
7,20221018_103520.mat,1237780,1.23778,1,160.0,0.06339596185427979
7,20221018_103520.mat,1237780,1.23778,2,350.0,0.05676329980739132
7,20221018_103520.mat,1237780,1.23778,3,185.0,0.04874956911866603
8,20221018_103520.mat,1237979,1.237979,1,165.0,0.09895138839284207
8,20221018_103520.mat,1237979,1.237979,2,295.0,0.0415877418876046
8,20221018_103520.mat,1237979,1.237979,3,355.0,0.030229219581055882
9,20221018_103520.mat,2286510,2.28651,1,165.0,0.23082779950781912
9,20221018_103520.mat,2286510,2.28651,2,295.0,0.09302317192850271
9,20221018_103520.mat,2286510,2.28651,3,140.0,0.0726670934038855
10,20221018_103520.mat,2287306,2.287306,1,170.0,0.06477565003177835
10,20221018_103520.mat,2287306,2.287306,2,350.0,0.018708464139923702
10,20221018_103520.mat,2287306,2.287306,3,130.0,0.017556025496068422
11,20221018_103520.mat,2305216,2.305216,1,165.0,0.07301702165393216
11,20221018_103520.mat,2305216,2.305216,2,340.0,0.03628466628537548
11,20221018_103520.mat,2305216,2.305216,3,295.0,0.03157302278194075
12,20221018_103520.mat,2330091,2.330091,1,165.0,0.0642781893689631
12,20221018_103520.mat,2330091,2.330091,2,345.0,0.02313210686385821
12,20221018_103520.mat,2330091,2.330091,3,135.0,0.020860532492301385
13,20221018_103520.mat,2475361,2.475361,1,170.0,0.11182206776592522
13,20221018_103520.mat,2475361,2.475361,2,110.0,0.03305119806914974
13,20221018_103520.mat,2475361,2.475361,3,140.0,0.029468526242742515
14,20221018_103520.mat,2511181,2.511181,1,165.0,0.05933879490052591
14,20221018_103520.mat,2511181,2.511181,2,300.0,0.0289605993650012
14,20221018_103520.mat,2511181,2.511181,3,360.0,0.018727296194807855
15,20221018_103520.mat,2760727,2.760727,1,170.0,0.5910465284100788
15,20221018_103520.mat,2760727,2.760727,2,130.0,0.23698223463290857
15,20221018_103520.mat,2760727,2.760727,3,485.0,0.15458119215006386
16,20221018_103520.mat,2760926,2.760926,1,170.0,0.20491764181618832
16,20221018_103520.mat,2760926,2.760926,2,130.0,0.08902767705273744
16,20221018_103520.mat,2760926,2.760926,3,75.0,0.04002516381481098
17,20221018_103520.mat,2913161,2.913161,1,175.0,0.07018815547152608
17,20221018_103520.mat,2913161,2.913161,2,135.0,0.035303371297191716
17,20221018_103520.mat,2913161,2.913161,3,295.0,0.022903621204510734
18,20221018_103520.mat,3191164,3.191164,1,160.0,0.09196365797750275
18,20221018_103520.mat,3191164,3.191164,2,185.0,0.038678315872798186
18,20221018_103520.mat,3191164,3.191164,3,135.0,0.03577623014725087
