file_name,candidate_window_count,selected_event_count,threshold
20221018_103520.mat,25125,48,0.000971344573984098
20221018_103525.mat,25125,378,0.001006489696963777
20221018_103530.mat,25125,651,0.0010458681129697307
20221018_103535.mat,25125,819,0.0010714986534329821
20221018_103540.mat,25125,938,0.001086693089617105
20221018_103545.mat,25125,884,0.0010710477982101166
20221018_103550.mat,25125,871,0.0010864984381740198
20221018_103555.mat,25125,983,0.0010998256429145706
20221018_103600.mat,25125,1013,0.0011152154807420403
20221018_103605.mat,25125,1061,0.0011439144902849656
20221018_103610.mat,25125,1248,0.0011404204105689199
20221018_103615.mat,25125,1297,0.0011821197824857174
20221018_103620.mat,25125,1453,0.0011984228292646415
20221018_103625.mat,25125,1492,0.0012437475134701322
20221018_103630.mat,25125,1412,0.0012493894977621376
20221018_103635.mat,25125,1557,0.0012848448537236368
20221018_103640.mat,25125,1654,0.0013075380767113409
20221018_103645.mat,25125,1716,0.001316116609650822
20221018_103650.mat,25125,1852,0.0013825261699313405
20221018_103655.mat,25125,2563,0.0016488640065964615
20221018_103700.mat,25125,2399,0.0016158116305214978
20221018_103705.mat,25125,2623,0.001835645256253009
20221018_103710.mat,25125,3803,0.004783221663743411
20221018_103715.mat,25125,4443,0.0062082627362825315
20221018_103720.mat,25125,3623,0.0028883155268024214
20221018_103725.mat,25125,3231,0.006059765061404967
20221018_103730.mat,25125,2618,0.0038807180081699287
20221018_103735.mat,25125,2582,0.012239546442208227
20221018_103740.mat,25125,3503,0.01712679916482432
20221018_103745.mat,25125,2673,0.015627658857321144
20221018_103750.mat,25125,1799,0.0037327030338153164
20221018_103755.mat,25125,1928,0.003429322616966872
20221018_103800.mat,25125,1328,0.003772529527475901
20221018_103805.mat,25125,1089,0.004348071644629037
20221018_103810.mat,25125,1736,0.005858858912035223
20221018_103815.mat,25125,2075,0.0045585921465034224
20221018_103820.mat,25125,2979,0.00900819591530861
20221018_103825.mat,25125,184,0.0009708124050421675
