event_index,time_s,peak_frequency_khz,peak_magnitude
266181,53.2362,165,12.6033507779875
406602,81.3204,170,31.507287274673
406603,81.3206,185,15.7354149616523
452501,90.5002,165,10.247348167042
457972,91.5944,240,16.3673020085182
457973,91.5946,175,12.4979688249696
468315,93.663,170,7.3817997684203
532160,106.432,165,14.0910903619676
542721,108.5442,165,16.7096518286301
542739,108.5478,165,9.27671208775982
542745,108.549,165,42.0132802831886
545808,109.1616,165,30.5001820813898
545809,109.1618,165,11.8349907915103
552954,110.5908,120,8.4210574215341
606559,121.3118,165,10.2799931632496
607604,121.5208,165,15.7267061719331
609283,121.8566,165,10.1338091117679
609372,121.8744,165,19.687652136876
609373,121.8746,165,11.2908370462154
614665,122.933,165,12.9071421077278
616470,123.294,170,23.6619765580927
620163,124.0326,165,12.2005610111059
625416,125.0832,165,11.2280432595227
642186,128.4372,120,11.2346628618177
642187,128.4374,115,8.07573061061139
650027,130.0054,305,12.5350603521987
650028,130.0056,170,13.634887886892
650087,130.0174,220,5.65729461707121
650088,130.0176,305,12.288975027922
650089,130.0178,165,12.1213056673012
650090,130.018,170,13.7310743214116
656973,131.3946,165,11.5643968270775
675109,135.0218,170,24.432425202477
680880,136.176,170,9.78328425098256
685100,137.02,170,22.4308532181686
685101,137.0202,165,10.96760909133
695744,139.1488,165,7.98482118496107
695745,139.149,165,10.1200440445022
698952,139.7904,185,6.08811528559689
699956,139.9912,170,21.1329960142797
699964,139.9928,115,43.7340159430066
699965,139.993,115,26.5202012400417
699966,139.9932,115,9.98093674208367
700613,140.1226,180,5.72614898175511
700614,140.1228,170,18.1768988911486
705882,141.1764,170,35.503943347895
705883,141.1766,170,18.0581740677898
706004,141.2008,170,7.7070283823693
746664,149.3328,165,12.5348915951575
746671,149.3342,170,12.8194591016471
746672,149.3344,165,28.1057780482164
748160,149.632,165,17.2638254485717
748427,149.6854,165,19.8508233750699
748428,149.6856,130,11.2426971423348
748464,149.6928,125,55.3013806805084
748465,149.693,125,70.8750018456108
748466,149.6932,165,23.0866376586207
748467,149.6934,165,9.85681826906466
748484,149.6968,165,22.2096596959211
748485,149.697,180,5.58348058374815
756981,151.3962,175,10.9226047195496
756982,151.3964,170,15.3358965877638
772084,154.4168,165,11.495378167172
789014,157.8028,170,8.25290925923269
789097,157.8194,170,5.32919508167883
789103,157.8206,165,7.14787695101682
789106,157.8212,180,10.8819139607257
789107,157.8214,170,7.89688847306756
789108,157.8216,180,4.6084418015227
789153,157.8306,165,340.490313909979
789154,157.8308,185,183.391858903736
789155,157.831,165,61.3773587986168
789156,157.8312,165,21.5242645593179
789157,157.8314,125,31.3858916134537
789158,157.8316,130,27.8009911973803
789159,157.8318,165,15.2925818919762
789161,157.8322,170,12.8831699506892
789162,157.8324,165,7.93569378861487
789164,157.8328,170,328.16943582826
789165,157.833,180,165.40491182298
789166,157.8332,165,80.1254007027936
789167,157.8334,165,45.7857600315284
789168,157.8336,170,28.1439013269115
789169,157.8338,180,7.59076304511388
789199,157.8398,165,186.686574239457
789200,157.84,165,46.3204134587647
789201,157.8402,165,24.8243358618307
789202,157.8404,165,12.566864806315
789204,157.8408,185,5.73461214368389
789205,157.841,165,14.1756884398133
789207,157.8414,165,69.0213682673887
789208,157.8416,165,20.1118474893326
789215,157.843,160,8.12099658615532
789216,157.8432,165,25.6874789692532
789217,157.8434,180,8.65396249529771
789221,157.8442,165,6.67674572541797
789909,157.9818,165,124.82591978333
789910,157.982,165,69.7903132948807
789911,157.9822,165,18.5119416754463
790513,158.1026,175,13.0583631143594
794091,158.8182,165,75.0177507159891
794092,158.8184,165,26.9379165133321
794093,158.8186,70,8.64855649913248
801665,160.333,170,9.37466339828797
805984,161.1968,160,11.3545283119513
805985,161.197,165,26.949225259182
805986,161.1972,180,7.14632939392518
814591,162.9182,165,10.9313640143397
814623,162.9246,165,18.0978928544812
814624,162.9248,165,11.7525930820225
