event_id,file_name,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_110039.mat,0.083779,1,155.0,0.043215304005018815
2,20221018_110039.mat,0.153628,1,160.0,0.031005858494080968
3,20221018_110039.mat,0.183478,1,155.0,0.03064543267418858
4,20221018_110039.mat,0.213328,1,160.0,0.03912572095265491
5,20221018_110039.mat,0.452924,1,165.0,0.04081749991701663
6,20221018_110039.mat,0.502873,1,170.0,0.0290811663221691
7,20221018_110039.mat,0.544862,1,165.0,0.09586765304206644
8,20221018_110039.mat,0.545061,1,165.0,0.1284810773705765
9,20221018_110039.mat,0.631029,1,160.0,0.09422454454981607
10,20221018_110039.mat,0.631228,1,160.0,0.13512185850022998
11,20221018_110039.mat,0.672421,1,180.0,0.04083540584357211
12,20221018_110039.mat,0.70844,1,340.0,0.07933573862417262
13,20221018_110039.mat,0.75222,1,185.0,0.031281720134601565
14,20221018_110039.mat,0.872018,1,280.0,0.028555742302418134
15,20221018_110039.mat,0.971916,1,280.0,0.0360670408675961
16,20221018_110039.mat,1.091515,1,155.0,0.03151077035681986
17,20221018_110039.mat,1.141464,1,155.0,0.03315596972731983
18,20221018_110039.mat,1.189224,1,160.0,0.12551762928921611
19,20221018_110039.mat,1.360961,1,160.0,0.027070944121233193
20,20221018_110039.mat,1.39101,1,185.0,0.045513912116932065
21,20221018_110039.mat,1.510609,1,225.0,0.03693197807149915
22,20221018_110039.mat,1.610507,1,170.0,0.038498046429805255
23,20221018_110039.mat,1.720156,1,185.0,0.029532125663309428
24,20221018_110039.mat,1.820054,1,160.0,0.03479588292383702
25,20221018_110039.mat,1.929703,1,170.0,0.04819385720463134
26,20221018_110039.mat,1.979652,1,175.0,0.043079073740556376
27,20221018_110039.mat,1.999552,1,255.0,0.029251742735583435
28,20221018_110039.mat,2.108007,1,160.0,0.0533795212474375
29,20221018_110039.mat,2.169299,1,175.0,0.033178957694255704
30,20221018_110039.mat,2.268998,1,160.0,0.03074888179558353
31,20221018_110039.mat,2.299047,1,220.0,0.028364719056272088
32,20221018_110039.mat,2.308997,1,285.0,0.025751864431122918
33,20221018_110039.mat,2.398746,1,160.0,0.03979113547114132
34,20221018_110039.mat,2.418845,1,165.0,0.0397545276674867
35,20221018_110039.mat,2.538444,1,235.0,0.029190928723108744
36,20221018_110039.mat,2.548394,1,170.0,0.029937450405153238
37,20221018_110039.mat,2.568493,1,185.0,0.034575722886887046
38,20221018_110039.mat,2.668192,1,245.0,0.030608006111493904
39,20221018_110039.mat,2.728091,1,180.0,0.05156309165863886
40,20221018_110039.mat,2.847889,1,220.0,0.03422427339202308
