event_id,file_name,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_112803.mat,2.731076,1,165.0,0.08758286547295872
1,20221018_112803.mat,2.731076,2,185.0,0.025309302317333072
1,20221018_112803.mat,2.731076,3,335.0,0.02037941637010234
2,20221018_112803.mat,3.672147,1,155.0,0.09650130927938047
2,20221018_112803.mat,3.672147,2,190.0,0.029074672024290427
2,20221018_112803.mat,3.672147,3,100.0,0.028759743511392828
3,20221018_112803.mat,3.672346,1,175.0,0.09279009686719376
3,20221018_112803.mat,3.672346,2,120.0,0.05003135450717685
3,20221018_112803.mat,3.672346,3,140.0,0.023430425576340085
4,20221018_112808.mat,0.204373,1,145.0,0.03922217942274613
4,20221018_112808.mat,0.204373,2,125.0,0.03477568080107902
4,20221018_112808.mat,0.204373,3,170.0,0.025825505497047107
5,20221018_112808.mat,0.204572,1,160.0,0.13874423472954994
5,20221018_112808.mat,0.204572,2,105.0,0.02772756841444658
5,20221018_112808.mat,0.204572,3,125.0,0.02334368143752921
6,20221018_112808.mat,0.2587,1,160.0,0.11579921733391496
6,20221018_112808.mat,0.2587,2,140.0,0.03325528748223101
6,20221018_112808.mat,0.2587,3,190.0,0.02373284310406955
7,20221018_112808.mat,0.388846,1,165.0,0.29746499832001055
7,20221018_112808.mat,0.388846,2,120.0,0.05173428755973979
7,20221018_112808.mat,0.388846,3,100.0,0.04882453499901145
8,20221018_112808.mat,0.389045,1,175.0,0.06611495285956287
8,20221018_112808.mat,0.389045,2,350.0,0.018916709001627736
8,20221018_112808.mat,0.389045,3,125.0,0.01848275938805277
9,20221018_112808.mat,0.505261,1,160.0,0.1016010035687724
9,20221018_112808.mat,0.505261,2,125.0,0.0330510073495382
9,20221018_112808.mat,0.505261,3,95.0,0.01712058092423187
10,20221018_112808.mat,0.506256,1,165.0,0.1415730795947232
10,20221018_112808.mat,0.506256,2,115.0,0.0289904559632805
10,20221018_112808.mat,0.506256,3,140.0,0.02647432571031669
11,20221018_112808.mat,0.810328,1,165.0,0.1240841867036644
11,20221018_112808.mat,0.810328,2,185.0,0.030325228974294235
11,20221018_112808.mat,0.810328,3,405.0,0.019356021693865917
12,20221018_112808.mat,0.96316,1,175.0,0.04201412333393266
12,20221018_112808.mat,0.96316,2,130.0,0.0360607420902582
12,20221018_112808.mat,0.96316,3,110.0,0.027672160067762828
13,20221018_112808.mat,0.963359,1,160.0,0.09564055213532244
13,20221018_112808.mat,0.963359,2,125.0,0.08303024904224614
13,20221018_112808.mat,0.963359,3,185.0,0.049138873307965986
14,20221018_112808.mat,1.173503,1,165.0,0.15855983863353112
14,20221018_112808.mat,1.173503,2,115.0,0.030973910625653175
14,20221018_112808.mat,1.173503,3,225.0,0.027267698123045137
15,20221018_112808.mat,1.266635,1,165.0,0.13340611360378868
15,20221018_112808.mat,1.266635,2,110.0,0.022463189522583547
15,20221018_112808.mat,1.266635,3,215.0,0.020265840500017018
16,20221018_112808.mat,1.266834,1,165.0,0.1310398558914477
16,20221018_112808.mat,1.266834,2,115.0,0.022523354610357878
16,20221018_112808.mat,1.266834,3,205.0,0.019596171931005546
17,20221018_112808.mat,1.401358,1,165.0,0.05777408789001067
17,20221018_112808.mat,1.401358,2,145.0,0.02278249731121067
17,20221018_112808.mat,1.401358,3,115.0,0.020619657077208628
18,20221018_112808.mat,1.544837,1,165.0,0.14469651422764299
18,20221018_112808.mat,1.544837,2,435.0,0.022175605020300884
18,20221018_112808.mat,1.544837,3,220.0,0.022112501663226085
19,20221018_112808.mat,1.612497,1,170.0,0.13882181500852903
19,20221018_112808.mat,1.612497,2,110.0,0.09319361597024707
19,20221018_112808.mat,1.612497,3,140.0,0.05244001745447258
20,20221018_112808.mat,1.898261,1,165.0,0.06739734579806626
20,20221018_112808.mat,1.898261,2,135.0,0.0321671461724456
20,20221018_112808.mat,1.898261,3,115.0,0.029619517146273373
21,20221018_112808.mat,1.941245,1,165.0,0.085428382601916
21,20221018_112808.mat,1.941245,2,140.0,0.026736082503503004
21,20221018_112808.mat,1.941245,3,220.0,0.0211994731096536
22,20221018_112808.mat,2.073381,1,165.0,0.07622110882673523
22,20221018_112808.mat,2.073381,2,135.0,0.022761433330616317
22,20221018_112808.mat,2.073381,3,290.0,0.020447808917855234
23,20221018_112808.mat,2.078356,1,165.0,0.04793123770909104
23,20221018_112808.mat,2.078356,2,140.0,0.03700445840438719
23,20221018_112808.mat,2.078356,3,115.0,0.028831515589676934
24,20221018_112808.mat,2.267008,1,165.0,0.04234337379404223
24,20221018_112808.mat,2.267008,2,220.0,0.033322132387056176
24,20221018_112808.mat,2.267008,3,365.0,0.025661013929855377
25,20221018_112808.mat,2.273376,1,165.0,0.2475322518254823
25,20221018_112808.mat,2.273376,2,145.0,0.050019998276215207
25,20221018_112808.mat,2.273376,3,125.0,0.03367085553904551
26,20221018_112808.mat,2.371881,1,175.0,0.12900533477615306
26,20221018_112808.mat,2.371881,2,135.0,0.09990980098580321
26,20221018_112808.mat,2.371881,3,155.0,0.060450706921615076
27,20221018_112808.mat,2.432178,1,175.0,0.10626237026059397
27,20221018_112808.mat,2.432178,2,135.0,0.10102922553691941
27,20221018_112808.mat,2.432178,3,85.0,0.04454545859231612
28,20221018_112808.mat,2.432377,1,165.0,0.07751469793549816
28,20221018_112808.mat,2.432377,2,130.0,0.04488814368473829
28,20221018_112808.mat,2.432377,3,195.0,0.026846789963180184
29,20221018_112808.mat,2.511579,1,165.0,0.16179518242716573
29,20221018_112808.mat,2.511579,2,140.0,0.03909818201903686
29,20221018_112808.mat,2.511579,3,195.0,0.03839267975331095
30,20221018_112808.mat,2.552573,1,165.0,0.10412913011054303
30,20221018_112808.mat,2.552573,2,105.0,0.027400255693990946
30,20221018_112808.mat,2.552573,3,195.0,0.026788775223730528
31,20221018_112808.mat,2.573269,1,165.0,0.2329686751596282
31,20221018_112808.mat,2.573269,2,110.0,0.07344107105960503
31,20221018_112808.mat,2.573269,3,90.0,0.05336728905517229
32,20221018_112808.mat,2.573468,1,165.0,0.22833769365716436
32,20221018_112808.mat,2.573468,2,120.0,0.059797713615954734
32,20221018_112808.mat,2.573468,3,140.0,0.040213212697974225
33,20221018_112808.mat,2.671973,1,165.0,0.06112918297589482
33,20221018_112808.mat,2.671973,2,115.0,0.022220248528100416
33,20221018_112808.mat,2.671973,3,430.0,0.01878105739448214
34,20221018_112808.mat,2.694659,1,165.0,0.13083406649184962
34,20221018_112808.mat,2.694659,2,140.0,0.04863348053807256
34,20221018_112808.mat,2.694659,3,190.0,0.021318011286171876
35,20221018_112808.mat,2.699435,1,160.0,0.05522421452593012
35,20221018_112808.mat,2.699435,2,235.0,0.025615004422569865
35,20221018_112808.mat,2.699435,3,210.0,0.023003592162276015
36,20221018_112808.mat,2.699634,1,165.0,0.06428489485265575
36,20221018_112808.mat,2.699634,2,135.0,0.027917785215842938
36,20221018_112808.mat,2.699634,3,350.0,0.021996294149498403
37,20221018_112808.mat,2.709385,1,165.0,0.2637216418549244
37,20221018_112808.mat,2.709385,2,115.0,0.043676538683487545
37,20221018_112808.mat,2.709385,3,225.0,0.033096753608380394
38,20221018_112808.mat,2.738041,1,160.0,0.12022272922662777
38,20221018_112808.mat,2.738041,2,180.0,0.04281159665763933
38,20221018_112808.mat,2.738041,3,110.0,0.029942329737476188
39,20221018_112808.mat,2.73824,1,165.0,0.07450811598439883
39,20221018_112808.mat,2.73824,2,185.0,0.04096593192264631
39,20221018_112808.mat,2.73824,3,415.0,0.01871740406205858
40,20221018_112808.mat,2.774657,1,165.0,0.0934673186889464
40,20221018_112808.mat,2.774657,2,125.0,0.024199889449805292
40,20221018_112808.mat,2.774657,3,95.0,0.022099766853155737
41,20221018_112808.mat,2.807492,1,165.0,0.06296268449453148
41,20221018_112808.mat,2.807492,2,145.0,0.04299726904376044
41,20221018_112808.mat,2.807492,3,110.0,0.024244432977716564
42,20221018_112808.mat,2.859431,1,165.0,0.4661277602874503
42,20221018_112808.mat,2.859431,2,110.0,0.07771326057422291
42,20221018_112808.mat,2.859431,3,130.0,0.06138359190720626
43,20221018_112808.mat,2.85963,1,175.0,0.08210537309971488
43,20221018_112808.mat,2.85963,2,115.0,0.07400650090725286
43,20221018_112808.mat,2.85963,3,95.0,0.025606613597441766
44,20221018_112808.mat,2.945598,1,165.0,0.08102032634699374
44,20221018_112808.mat,2.945598,2,295.0,0.023386821656835068
44,20221018_112808.mat,2.945598,3,225.0,0.02266090229352522
45,20221018_112808.mat,3.103604,1,160.0,0.0930159589701069
45,20221018_112808.mat,3.103604,2,125.0,0.03987536652525202
45,20221018_112808.mat,3.103604,3,185.0,0.030275543804018742
46,20221018_112808.mat,3.144399,1,165.0,0.08723897283718457
46,20221018_112808.mat,3.144399,2,140.0,0.02467869401137913
46,20221018_112808.mat,3.144399,3,185.0,0.022314234147959466
47,20221018_112808.mat,3.24768,1,160.0,0.21282454249673427
47,20221018_112808.mat,3.24768,2,130.0,0.06745176031343587
47,20221018_112808.mat,3.24768,3,185.0,0.049164678042745685
48,20221018_112808.mat,3.29544,1,160.0,0.0587408204220682
48,20221018_112808.mat,3.29544,2,180.0,0.047519019517897464
48,20221018_112808.mat,3.29544,3,210.0,0.02626469107024534
49,20221018_112808.mat,3.295639,1,165.0,0.3883801913155781
49,20221018_112808.mat,3.295639,2,185.0,0.06466311373495862
49,20221018_112808.mat,3.295639,3,115.0,0.05986341574007738
50,20221018_112808.mat,3.401905,1,165.0,0.07639343198401818
50,20221018_112808.mat,3.401905,2,140.0,0.038111789376606676
50,20221018_112808.mat,3.401905,3,15.0,0.02010260407872043
51,20221018_112808.mat,3.447476,1,165.0,0.09191044357277263
51,20221018_112808.mat,3.447476,2,110.0,0.08241193487707933
51,20221018_112808.mat,3.447476,3,185.0,0.05562880092406508
52,20221018_112808.mat,3.447675,1,160.0,0.04166534272090114
52,20221018_112808.mat,3.447675,2,115.0,0.03963985441800505
52,20221018_112808.mat,3.447675,3,210.0,0.02534855011201319
53,20221018_112808.mat,3.451854,1,160.0,0.07476866850377513
53,20221018_112808.mat,3.451854,2,130.0,0.030525568349280066
53,20221018_112808.mat,3.451854,3,185.0,0.02872801056952551
54,20221018_112808.mat,3.458421,1,165.0,0.07712811293678015
54,20221018_112808.mat,3.458421,2,220.0,0.02036026895892209
54,20221018_112808.mat,3.458421,3,290.0,0.019726824117424702
55,20221018_112808.mat,3.458819,1,160.0,0.09486737529426904
55,20221018_112808.mat,3.458819,2,130.0,0.04295150599680997
55,20221018_112808.mat,3.458819,3,305.0,0.024889323616591314
56,20221018_112808.mat,3.460411,1,170.0,0.05451179394428116
56,20221018_112808.mat,3.460411,2,125.0,0.029332032843188173
56,20221018_112808.mat,3.460411,3,225.0,0.021653236105246335
57,20221018_112808.mat,3.474341,1,165.0,0.40194597956168826
57,20221018_112808.mat,3.474341,2,190.0,0.0559774830947317
57,20221018_112808.mat,3.474341,3,120.0,0.05315458654879253
58,20221018_112808.mat,3.47454,1,175.0,0.10454884690123506
58,20221018_112808.mat,3.47454,2,115.0,0.06984468105805869
58,20221018_112808.mat,3.47454,3,90.0,0.025348620258002816
59,20221018_112808.mat,3.503395,1,165.0,0.12233930206005734
59,20221018_112808.mat,3.503395,2,215.0,0.03141148614845341
59,20221018_112808.mat,3.503395,3,255.0,0.022831147336780808
60,20221018_112808.mat,3.508569,1,160.0,0.13810579563076442
60,20221018_112808.mat,3.508569,2,110.0,0.044735616342112296
60,20221018_112808.mat,3.508569,3,190.0,0.03715992001914111
61,20221018_112808.mat,3.508768,1,170.0,0.06936508831891464
61,20221018_112808.mat,3.508768,2,120.0,0.024138156835417056
61,20221018_112808.mat,3.508768,3,140.0,0.02000674948375147
62,20221018_112808.mat,3.510758,1,165.0,0.07221471661715634
62,20221018_112808.mat,3.510758,2,125.0,0.02753251436697805
62,20221018_112808.mat,3.510758,3,355.0,0.026180008457809396
63,20221018_112808.mat,3.521703,1,160.0,0.06578356834195266
63,20221018_112808.mat,3.521703,2,270.0,0.01943873302364303
63,20221018_112808.mat,3.521703,3,120.0,0.01872617780413888
64,20221018_112808.mat,3.52827,1,165.0,0.06300612793115418
64,20221018_112808.mat,3.52827,2,200.0,0.02499901194739065
64,20221018_112808.mat,3.52827,3,390.0,0.024059793420260635
65,20221018_112808.mat,3.594537,1,170.0,0.06809847615236819
65,20221018_112808.mat,3.594537,2,125.0,0.026123281730589292
65,20221018_112808.mat,3.594537,3,210.0,0.022572734424559513
66,20221018_112808.mat,3.601502,1,165.0,0.10384853833898572
66,20221018_112808.mat,3.601502,2,190.0,0.03763779171370981
66,20221018_112808.mat,3.601502,3,110.0,0.037377254334163404
67,20221018_112808.mat,3.625183,1,165.0,0.0807334643770317
67,20221018_112808.mat,3.625183,2,115.0,0.0260222885426327
67,20221018_112808.mat,3.625183,3,225.0,0.01996080778883801
68,20221018_112808.mat,3.656824,1,165.0,0.08834459930518251
68,20221018_112808.mat,3.656824,2,190.0,0.024068601915938022
68,20221018_112808.mat,3.656824,3,350.0,0.022072601579458125
69,20221018_112808.mat,3.660406,1,165.0,0.15002585865879375
