file_name,candidate_window_count,selected_event_count,threshold
20221018_140051.mat,25125,125,0.0009363933078584757
20221018_140056.mat,25125,307,0.000950185105636666
20221018_140101.mat,25125,729,0.0009827658793698782
20221018_140106.mat,25125,878,0.0010010531282244111
20221018_140111.mat,25125,909,0.0010085915198333895
20221018_140116.mat,25125,947,0.0010154844237877192
20221018_140121.mat,25125,972,0.001022436297616863
20221018_140126.mat,25125,1084,0.0010383550969763336
20221018_140131.mat,25125,1062,0.0010452206477996606
20221018_140136.mat,25125,1194,0.001051365650668806
20221018_140141.mat,25125,1210,0.001059964938214367
20221018_140146.mat,25125,1229,0.0010686503489827047
20221018_140151.mat,25125,1149,0.0010483937963590023
20221018_140156.mat,25125,1210,0.0010646223275464191
20221018_140201.mat,25125,1246,0.0010686038966969988
20221018_140206.mat,25125,1367,0.0010676111560583884
20221018_140211.mat,25125,1283,0.0010688990368795494
20221018_140216.mat,25125,1351,0.0010490735696500849
20221018_140221.mat,25125,1284,0.0010473256772502004
20221018_140226.mat,25125,1237,0.001041776813445026
20221018_140231.mat,25125,1197,0.0010413652846663515
20221018_140236.mat,25125,1611,0.0010617048708211558
20221018_140241.mat,25125,2387,0.0011199833797830325
20221018_140246.mat,25125,2968,0.0011552706996302846
20221018_140251.mat,25125,2822,0.0011561227642238115
20221018_140256.mat,25125,3336,0.0012049889899992524
20221018_140301.mat,25125,3999,0.0014018038356102295
20221018_140306.mat,25125,3299,0.001256764391186066
20221018_140311.mat,25125,4479,0.001689348431356496
20221018_140316.mat,25125,3824,0.001618709524269126
20221018_140321.mat,25125,3792,0.001776043996937946
20221018_140326.mat,25125,2607,0.0013067582472040431
20221018_140331.mat,25125,3505,0.0015699319453006356
20221018_140336.mat,25125,2698,0.0014224036720624608
20221018_140341.mat,25125,3723,0.007133265882830343
20221018_140346.mat,25125,1830,0.018454215387066496
20221018_140351.mat,25125,2325,0.03247457024680278
20221018_140356.mat,25125,1586,0.015713300965923143
20221018_140401.mat,25125,1793,0.02040208441654827
20221018_140406.mat,25125,1838,0.026821101205813967
20221018_140411.mat,25125,1848,0.000986973106046926
20221018_140416.mat,25125,77,0.0009342684452001784
