event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
29,20221018_140051.mat,1433596,1.433596,1,170.0,0.04135469195187141
30,20221018_140051.mat,1453695,1.453695,1,210.0,0.03360300903091284
31,20221018_140051.mat,1493694,1.493694,1,200.0,0.029650686882076536
32,20221018_140051.mat,1503644,1.503644,1,180.0,0.030063053308425226
33,20221018_140051.mat,1553593,1.553593,1,165.0,0.034029609104922004
34,20221018_140051.mat,1593592,1.593592,1,155.0,0.034687852990656576
35,20221018_140051.mat,1603542,1.603542,1,165.0,0.034605333084392155
36,20221018_140051.mat,1644337,1.644337,1,155.0,0.09719563982469015
37,20221018_140051.mat,1653491,1.653491,1,265.0,0.02594390875506052
38,20221018_140051.mat,1713390,1.71339,1,170.0,0.030650562366747843
39,20221018_140051.mat,1863436,1.863436,1,175.0,0.03128620052272057
40,20221018_140051.mat,1890102,1.890102,1,160.0,0.11286798524545552
41,20221018_140051.mat,1903435,1.903435,1,245.0,0.03435030803127657
42,20221018_140051.mat,1913385,1.913385,1,185.0,0.03598701282524196
43,20221018_140051.mat,2033183,2.033183,1,180.0,0.03678080594809035
44,20221018_140051.mat,2053282,2.053282,1,195.0,0.027441136185656183
45,20221018_140051.mat,2063232,2.063232,1,105.0,0.03328712673815597
46,20221018_140051.mat,2093281,2.093281,1,180.0,0.02988062033752348
47,20221018_140051.mat,2213079,2.213079,1,160.0,0.03700496812946906
48,20221018_140051.mat,2263028,2.263028,1,245.0,0.030200593225554916
49,20221018_140051.mat,2272978,2.272978,1,180.0,0.033081663709712626
50,20221018_140051.mat,2283127,2.283127,1,220.0,0.03167092433072083
51,20221018_140051.mat,2303027,2.303027,1,180.0,0.028357490235813625
52,20221018_140051.mat,2312380,2.31238,1,180.0,0.23060471738255536
53,20221018_140051.mat,2338847,2.338847,1,165.0,0.050336651717570347
54,20221018_140051.mat,2352976,2.352976,1,180.0,0.03726781364979435
55,20221018_140051.mat,2373075,2.373075,1,230.0,0.0350727822947319
56,20221018_140051.mat,2472973,2.472973,1,180.0,0.03153292027964063
57,20221018_140051.mat,2482923,2.482923,1,295.0,0.03453407475349441
58,20221018_140051.mat,2552772,2.552772,1,280.0,0.03238438894364086
59,20221018_140051.mat,2632770,2.63277,1,210.0,0.031951293465164565
60,20221018_140051.mat,2692669,2.692669,1,120.0,0.032256040748233406
61,20221018_140051.mat,2698042,2.698042,1,160.0,0.16237899532610853
62,20221018_140051.mat,2698241,2.698241,1,175.0,0.05641506906918562
63,20221018_140051.mat,2702818,2.702818,1,255.0,0.029454862753764893
64,20221018_140051.mat,2762717,2.762717,1,175.0,0.028125921628580432
65,20221018_140051.mat,2782816,2.782816,1,185.0,0.04351328735808993
66,20221018_140051.mat,2802716,2.802716,1,175.0,0.032349681314577765
67,20221018_140051.mat,2812666,2.812666,1,225.0,0.02932572102756496
68,20221018_140051.mat,2862615,2.862615,1,175.0,0.0365626380275385
69,20221018_140051.mat,2882714,2.882714,1,230.0,0.0336545398168105
70,20221018_140051.mat,2992562,2.992562,1,250.0,0.030543246425259196
71,20221018_140051.mat,2993358,2.993358,1,160.0,0.4775137156178884
72,20221018_140051.mat,3022611,3.022611,1,160.0,0.027530088634919715
73,20221018_140051.mat,3042511,3.042511,1,235.0,0.030474189581046827
74,20221018_140051.mat,3062610,3.06261,1,180.0,0.035466819198187546
75,20221018_140051.mat,3108778,3.108778,1,160.0,0.05424692033100611
76,20221018_140051.mat,3172458,3.172458,1,275.0,0.0370038403810559
77,20221018_140051.mat,3189174,3.189174,1,160.0,0.074631103323717
78,20221018_140051.mat,3192358,3.192358,1,165.0,0.03699695755958329
79,20221018_140051.mat,3242307,3.242307,1,185.0,0.028889436510741984
80,20221018_140051.mat,3292256,3.292256,1,90.0,0.025894618192108084
81,20221018_140051.mat,3303002,3.303002,1,160.0,0.04278047612326646
82,20221018_140051.mat,3372254,3.372254,1,165.0,0.03505732802574629
83,20221018_140051.mat,3408273,3.408273,1,135.0,0.05243057471871015
84,20221018_140051.mat,3408472,3.408472,1,160.0,0.0747413731001
85,20221018_140051.mat,3492251,3.492251,1,190.0,0.03355554918832209
86,20221018_140051.mat,3512151,3.512151,1,185.0,0.035013013776502976
87,20221018_140051.mat,3612049,3.612049,1,155.0,0.03976863272112618
88,20221018_140051.mat,3642098,3.642098,1,205.0,0.037718769262709125
89,20221018_140051.mat,3652048,3.652048,1,180.0,0.039170280080618514
90,20221018_140051.mat,3677719,3.677719,1,160.0,0.0817874181949971
91,20221018_140051.mat,3701997,3.701997,1,180.0,0.034278919325689425
92,20221018_140051.mat,3722096,3.722096,1,160.0,0.04003052294062384
93,20221018_140051.mat,3762095,3.762095,1,190.0,0.029913886571000737
94,20221018_140051.mat,3821994,3.821994,1,225.0,0.03485795605982698
95,20221018_140051.mat,3833536,3.833536,1,160.0,0.06165831067845081
96,20221018_140051.mat,3881893,3.881893,1,160.0,0.04303243667245591
97,20221018_140051.mat,3931842,3.931842,1,180.0,0.03413168169379187
98,20221018_140051.mat,3941991,3.941991,1,205.0,0.026203148065295726
99,20221018_140051.mat,3951941,3.951941,1,180.0,0.03329592396147476
100,20221018_140051.mat,3991940,3.99194,1,235.0,0.03653312520268278
101,20221018_140051.mat,4045869,4.045869,1,175.0,0.05953351733757578
102,20221018_140051.mat,4051839,4.051839,1,140.0,0.027761225321312814
103,20221018_140051.mat,4067958,4.067958,1,155.0,0.07588915692615057
104,20221018_140051.mat,4131837,4.131837,1,215.0,0.027898495766872027
105,20221018_140051.mat,4251635,4.251635,1,165.0,0.03499678884623226
106,20221018_140051.mat,4263177,4.263177,1,185.0,0.08582726484962562
107,20221018_140051.mat,4263376,4.263376,1,160.0,0.10687968864445317
108,20221018_140051.mat,4271734,4.271734,1,160.0,0.034042722439100316
109,20221018_140051.mat,4321683,4.321683,1,185.0,0.025348609588317576
110,20221018_140051.mat,4341583,4.341583,1,160.0,0.0416748177697595
111,20221018_140051.mat,4356906,4.356906,1,165.0,0.07116478551099907
112,20221018_140051.mat,4357105,4.357105,1,160.0,0.05137047638399933
113,20221018_140051.mat,4391532,4.391532,1,265.0,0.03573179787986394
114,20221018_140051.mat,4409243,4.409243,1,140.0,0.04068688575950766
115,20221018_140051.mat,4409442,4.409442,1,160.0,0.0752269995736492
116,20221018_140051.mat,4431531,4.431531,1,155.0,0.03673289083411769
117,20221018_140051.mat,4471530,4.47153,1,170.0,0.04548316451442557
118,20221018_140051.mat,4491430,4.49143,1,160.0,0.03715228515698946
119,20221018_140051.mat,4681475,4.681475,1,165.0,0.028924832313634383
120,20221018_140051.mat,4751324,4.751324,1,165.0,0.03760584305150125
121,20221018_140051.mat,4766249,4.766249,1,170.0,0.04398014347939803
122,20221018_140051.mat,4766448,4.766448,1,160.0,0.051358841525729934
123,20221018_140051.mat,4894405,4.894405,1,155.0,0.06867655711330978
124,20221018_140051.mat,4959478,4.959478,1,165.0,0.06396938686307728
125,20221018_140051.mat,4991119,4.991119,1,230.0,0.032529932832298276
