file_name,candidate_window_count,selected_event_count,threshold
20221018_140051.mat,25125,125,0.000936393307860975
20221018_140056.mat,25125,307,0.000950185105632422
20221018_140101.mat,25125,729,0.000982765879367452
20221018_140106.mat,25125,878,0.00100105312822115
20221018_140111.mat,25125,909,0.0010085915198319
20221018_140116.mat,25125,947,0.00101548442378694
20221018_140121.mat,25125,972,0.00102243629761733
20221018_140126.mat,25125,1084,0.00103835509697818
20221018_140131.mat,25125,1062,0.00104522064780219
20221018_140136.mat,25125,1194,0.00105136565067177
20221018_140141.mat,25125,1210,0.00105996493821125
20221018_140146.mat,25125,1229,0.00106865034898707
20221018_140151.mat,25125,1149,0.00104839379635917
20221018_140156.mat,25125,1210,0.00106462232754981
20221018_140201.mat,25125,1246,0.00106860389669705
20221018_140206.mat,25125,1367,0.00106761115605892
20221018_140211.mat,25125,1283,0.00106889903687674
20221018_140216.mat,25125,1351,0.00104907356965109
20221018_140221.mat,25125,1284,0.00104732567724742
20221018_140226.mat,25125,1237,0.00104177681344802
20221018_140231.mat,25125,1197,0.00104136528466831
20221018_140236.mat,25125,1611,0.00106170487082233
20221018_140241.mat,25125,2387,0.00111998337978231
20221018_140246.mat,25125,2968,0.00115527069962886
20221018_140251.mat,25125,2822,0.0011561227642244
20221018_140256.mat,25125,3336,0.00120498898999941
20221018_140301.mat,25125,3999,0.00140180383561083
20221018_140306.mat,25125,3299,0.00125676439118754
20221018_140311.mat,25125,4479,0.0016893484313564
20221018_140316.mat,25125,3824,0.00161870952426599
20221018_140321.mat,25125,3792,0.00177604399693697
20221018_140326.mat,25125,2607,0.00130675824720461
20221018_140331.mat,25125,3505,0.00156993194530052
20221018_140336.mat,25125,2698,0.00142240367206017
20221018_140341.mat,25125,3723,0.00713326588283182
20221018_140346.mat,25125,1830,0.0184542153870668
20221018_140351.mat,25125,2325,0.0324745702468034
20221018_140356.mat,25125,1586,0.015713300965924
20221018_140401.mat,25125,1793,0.0204020844165473
20221018_140406.mat,25125,1838,0.0268211012058144
20221018_140411.mat,25125,1848,0.000986973106046878
20221018_140416.mat,25125,77,0.000934268445202028
