event_id,file_name,event_time_s,peak_rank,frequency_khz,magnitude
29,20221018_103520.mat,3.85463,3,145.0,0.027818852139576602
30,20221018_103520.mat,3.854829,1,165.0,0.07255041003265303
30,20221018_103520.mat,3.854829,2,115.0,0.04424724448944008
30,20221018_103520.mat,3.854829,3,185.0,0.028381576360815532
31,20221018_103520.mat,3.893037,1,165.0,0.06492392255942529
31,20221018_103520.mat,3.893037,2,140.0,0.02324892338569308
31,20221018_103520.mat,3.893037,3,300.0,0.01901676147504952
32,20221018_103520.mat,4.068356,1,165.0,0.07372114142576708
32,20221018_103520.mat,4.068356,2,185.0,0.04008648262221165
32,20221018_103520.mat,4.068356,3,140.0,0.018320327647414546
33,20221018_103520.mat,4.482873,1,175.0,0.12698962702864788
33,20221018_103520.mat,4.482873,2,135.0,0.032342752105162874
33,20221018_103520.mat,4.482873,3,280.0,0.024553995329613675
34,20221018_103520.mat,4.483072,1,175.0,0.08421120909419835
34,20221018_103520.mat,4.483072,2,130.0,0.029597312504743935
34,20221018_103520.mat,4.483072,3,205.0,0.02164457543818281
35,20221018_103520.mat,4.527847,1,165.0,0.11476943333435695
35,20221018_103520.mat,4.527847,2,185.0,0.10968849685784196
35,20221018_103520.mat,4.527847,3,135.0,0.07848874604237585
36,20221018_103520.mat,4.539986,1,155.0,0.05581260459455882
36,20221018_103520.mat,4.539986,2,135.0,0.024687618017692488
36,20221018_103520.mat,4.539986,3,305.0,0.021785009173462946
37,20221018_103520.mat,4.562871,1,170.0,0.0728455698492067
37,20221018_103520.mat,4.562871,2,190.0,0.04815992926116288
37,20221018_103520.mat,4.562871,3,105.0,0.036526153660098475
38,20221018_103520.mat,4.56506,1,170.0,0.060503020486945606
38,20221018_103520.mat,4.56506,2,135.0,0.039335915662148384
38,20221018_103520.mat,4.56506,3,110.0,0.029308271162131885
39,20221018_103520.mat,4.582174,1,165.0,0.07803236192303982
39,20221018_103520.mat,4.582174,2,145.0,0.04167413119647683
39,20221018_103520.mat,4.582174,3,125.0,0.039712734477512265
40,20221018_103520.mat,4.637098,1,175.0,0.07123933049902147
40,20221018_103520.mat,4.637098,2,150.0,0.043069134156923636
40,20221018_103520.mat,4.637098,3,125.0,0.02291843076604211
41,20221018_103520.mat,4.669137,1,165.0,0.07814266447300443
41,20221018_103520.mat,4.669137,2,145.0,0.028181238715920712
41,20221018_103520.mat,4.669137,3,125.0,0.02613597014018764
42,20221018_103520.mat,4.676898,1,160.0,0.057090299548210724
42,20221018_103520.mat,4.676898,2,135.0,0.027081131989358444
42,20221018_103520.mat,4.676898,3,190.0,0.024992473378395764
43,20221018_103520.mat,4.768438,1,160.0,0.11179802362692412
43,20221018_103520.mat,4.768438,2,185.0,0.06069413613530252
43,20221018_103520.mat,4.768438,3,235.0,0.029252052039951126
44,20221018_103520.mat,4.882067,1,160.0,0.07308299718663706
44,20221018_103520.mat,4.882067,2,180.0,0.028897444320861228
44,20221018_103520.mat,4.882067,3,135.0,0.025152197165524307
45,20221018_103520.mat,4.888037,1,155.0,0.0629278028594993
45,20221018_103520.mat,4.888037,2,135.0,0.020419621222747292
45,20221018_103520.mat,4.888037,3,210.0,0.019798882603994757
46,20221018_103520.mat,4.894604,1,165.0,0.06804138408971372
46,20221018_103520.mat,4.894604,2,185.0,0.053875421886575715
46,20221018_103520.mat,4.894604,3,110.0,0.027082543091944113
47,20221018_103520.mat,4.931419,1,165.0,0.0734706411903729
47,20221018_103520.mat,4.931419,2,185.0,0.06055546697425009
47,20221018_103520.mat,4.931419,3,110.0,0.03262337766088326
48,20221018_103520.mat,4.937986,1,170.0,0.05790493327478186
48,20221018_103520.mat,4.937986,2,105.0,0.029606517126364994
48,20221018_103520.mat,4.937986,3,305.0,0.022546659537012178
49,20221018_103525.mat,0.045969,1,175.0,0.06380435968773106
49,20221018_103525.mat,0.045969,2,145.0,0.03685351569904997
49,20221018_103525.mat,0.045969,3,50.0,0.01842485223384888
50,20221018_103525.mat,0.047362,1,165.0,0.09076440504826709
50,20221018_103525.mat,0.047362,2,185.0,0.07305049600663395
50,20221018_103525.mat,0.047362,3,290.0,0.024201723117310812
51,20221018_103525.mat,0.092933,1,165.0,0.12957788632832523
51,20221018_103525.mat,0.092933,2,195.0,0.03703175240858886
51,20221018_103525.mat,0.092933,3,130.0,0.036814760451769436
52,20221018_103525.mat,0.093132,1,165.0,0.1333812721459303
52,20221018_103525.mat,0.093132,2,285.0,0.028547314376037327
52,20221018_103525.mat,0.093132,3,210.0,0.02356494549649507
53,20221018_103525.mat,0.130942,1,165.0,0.057236362572552775
53,20221018_103525.mat,0.130942,2,120.0,0.03806849388279358
53,20221018_103525.mat,0.130942,3,190.0,0.03484681405203644
54,20221018_103525.mat,0.151638,1,170.0,0.1213953686980472
54,20221018_103525.mat,0.151638,2,150.0,0.044050021069467864
54,20221018_103525.mat,0.151638,3,115.0,0.03859842254763586
55,20221018_103525.mat,0.186861,1,160.0,0.0671523818360585
55,20221018_103525.mat,0.186861,2,185.0,0.035841456660063276
55,20221018_103525.mat,0.186861,3,285.0,0.018925113782457904
56,20221018_103525.mat,0.188453,1,160.0,0.06503103640671998
56,20221018_103525.mat,0.188453,2,130.0,0.022684403368084208
56,20221018_103525.mat,0.188453,3,190.0,0.018642383146907544
57,20221018_103525.mat,0.254322,1,165.0,0.07785442144186935
57,20221018_103525.mat,0.254322,2,115.0,0.04514458985981963
57,20221018_103525.mat,0.254322,3,145.0,0.02517841526832999
58,20221018_103525.mat,0.27462,1,175.0,0.1637046547427586
58,20221018_103525.mat,0.27462,2,145.0,0.07281354377388884
58,20221018_103525.mat,0.27462,3,125.0,0.0522441457693682
59,20221018_103525.mat,0.274819,1,170.0,0.10447988993332687
59,20221018_103525.mat,0.274819,2,125.0,0.04484265495547078
59,20221018_103525.mat,0.274819,3,360.0,0.023151942319848053
60,20221018_103525.mat,0.289545,1,160.0,0.06717591192004922
60,20221018_103525.mat,0.289545,2,95.0,0.021999399675013426
60,20221018_103525.mat,0.289545,3,365.0,0.018486656973494962
61,20221018_103525.mat,0.30845,1,175.0,0.06627035041594713
61,20221018_103525.mat,0.30845,2,155.0,0.05032117431084633
61,20221018_103525.mat,0.30845,3,125.0,0.0438553975240759
62,20221018_103525.mat,0.308649,1,175.0,0.07747366686849248
62,20221018_103525.mat,0.308649,2,120.0,0.0360925418482177
62,20221018_103525.mat,0.308649,3,255.0,0.0223008814105687
63,20221018_103525.mat,0.326161,1,175.0,0.17568292214387304
63,20221018_103525.mat,0.326161,2,145.0,0.06663197331097406
63,20221018_103525.mat,0.326161,3,115.0,0.03116115428103497
64,20221018_103525.mat,0.326559,1,170.0,0.06160767144415111
64,20221018_103525.mat,0.326559,2,145.0,0.032985442843096825
64,20221018_103525.mat,0.326559,3,260.0,0.024983226328591693
65,20221018_103525.mat,0.351633,1,165.0,0.11108131847184088
65,20221018_103525.mat,0.351633,2,135.0,0.03287602431969088
65,20221018_103525.mat,0.351633,3,205.0,0.021527585479025568
66,20221018_103525.mat,0.359991,1,175.0,0.06780010545316971
66,20221018_103525.mat,0.359991,2,150.0,0.037980496535498336
66,20221018_103525.mat,0.359991,3,75.0,0.019547755913489805
67,20221018_103525.mat,0.36616,1,165.0,0.11470514246739294
67,20221018_103525.mat,0.36616,2,115.0,0.043268717715788566
67,20221018_103525.mat,0.36616,3,195.0,0.020394498644402466
68,20221018_103525.mat,0.421084,1,170.0,0.06585235064995064
68,20221018_103525.mat,0.421084,2,350.0,0.02276970172563739
68,20221018_103525.mat,0.421084,3,295.0,0.019344085077412122
69,20221018_103525.mat,0.476207,1,165.0,0.10116939898825958
69,20221018_103525.mat,0.476207,2,115.0,0.07018203385011473
69,20221018_103525.mat,0.476207,3,185.0,0.05480695746746861
70,20221018_103525.mat,0.501878,1,165.0,0.05323302835239895
70,20221018_103525.mat,0.501878,2,185.0,0.03805436481484153
70,20221018_103525.mat,0.501878,3,140.0,0.025756165890873633
71,20221018_103525.mat,0.594413,1,165.0,0.263417240478174
71,20221018_103525.mat,0.594413,2,185.0,0.07580364592626003
71,20221018_103525.mat,0.594413,3,255.0,0.032454539889225205
72,20221018_103525.mat,0.610333,1,170.0,0.19332002114475744
72,20221018_103525.mat,0.610333,2,140.0,0.05790545311222597
72,20221018_103525.mat,0.610333,3,115.0,0.039368260397427926
73,20221018_103525.mat,0.610532,1,165.0,0.07722340345367837
73,20221018_103525.mat,0.610532,2,140.0,0.020551953981841585
73,20221018_103525.mat,0.610532,3,300.0,0.019626759188866867
74,20221018_103525.mat,0.63481,1,185.0,0.2106798311148415
74,20221018_103525.mat,0.63481,2,150.0,0.1201285456855951
74,20221018_103525.mat,0.63481,3,105.0,0.0860644106094708
75,20221018_103525.mat,0.667645,1,170.0,0.07442314186360449
75,20221018_103525.mat,0.667645,2,135.0,0.022155290905676042
75,20221018_103525.mat,0.667645,3,245.0,0.020245439111659786
76,20221018_103525.mat,0.697495,1,170.0,0.18564555642093625
76,20221018_103525.mat,0.697495,2,150.0,0.05632455876778212
76,20221018_103525.mat,0.697495,3,120.0,0.04810708815787533
77,20221018_103525.mat,0.70048,1,165.0,0.04932265817879624
77,20221018_103525.mat,0.70048,2,125.0,0.039974081594781864
77,20221018_103525.mat,0.70048,3,235.0,0.02403486577043502
78,20221018_103525.mat,0.727345,1,175.0,0.08467110760496632
78,20221018_103525.mat,0.727345,2,125.0,0.03200851751444258
78,20221018_103525.mat,0.727345,3,200.0,0.028081932064053818
79,20221018_103525.mat,0.739683,1,175.0,0.06220902093065934
79,20221018_103525.mat,0.739683,2,140.0,0.02452970201873599
79,20221018_103525.mat,0.739683,3,355.0,0.018280808013783893
80,20221018_103525.mat,0.760777,1,165.0,0.04841561082847705
80,20221018_103525.mat,0.760777,2,185.0,0.036259765189266345
80,20221018_103525.mat,0.760777,3,130.0,0.024890150524774793
81,20221018_103525.mat,0.792816,1,185.0,0.07382687968273052
81,20221018_103525.mat,0.792816,2,165.0,0.061091789219702236
81,20221018_103525.mat,0.792816,3,145.0,0.02954779918633003
82,20221018_103525.mat,0.809532,1,165.0,0.06710391107993888
82,20221018_103525.mat,0.809532,2,340.0,0.022420726333178008
82,20221018_103525.mat,0.809532,3,140.0,0.021538319861671158
83,20221018_103525.mat,0.829233,1,150.0,0.06647266381067231
83,20221018_103525.mat,0.829233,2,170.0,0.041040733115701514
83,20221018_103525.mat,0.829233,3,125.0,0.02723996361164116
84,20221018_103525.mat,0.864257,1,165.0,0.12524134146609628
84,20221018_103525.mat,0.864257,2,185.0,0.09012674592578762
84,20221018_103525.mat,0.864257,3,115.0,0.037489752526212165
