event_index,time_s,peak_frequency_khz,peak_magnitude
287651,57.5302,165,10.4826297515507
338218,67.6436,165,8.39282023781906
444687,88.9374,165,6.21195751670757
497760,99.552,165,10.8334384651882
555693,111.1386,170,12.541169302612
577482,115.4964,170,8.28472060192394
625555,125.111,170,9.35110723755894
645261,129.0522,170,14.3103097239225
663329,132.6658,165,86.7543849308795
663330,132.666,130,12.1671204362565
664678,132.9356,165,16.8899624719082
677792,135.5584,165,12.0225999102653
680594,136.1188,170,8.5836176937003
680946,136.1892,125,6.32456589825066
695841,139.1682,165,9.62164091783776
697350,139.47,165,15.2780563525295
697351,139.4702,175,85.8212527264602
697352,139.4704,180,22.3192913599749
723951,144.7902,165,25.4005121452767
723952,144.7904,165,34.5103416171794
725186,145.0372,165,9.87717171470071
725214,145.0428,165,10.2028077652555
725534,145.1068,170,54.7046986040503
725535,145.107,125,122.079103789142
725536,145.1072,75,31.3340187521201
725537,145.1074,75,17.9333884358803
725658,145.1316,170,10.2594499622127
725673,145.1346,185,4.32710487096371
725674,145.1348,170,54.1902599801316
725675,145.135,180,11.738417143183
726961,145.3922,165,65.9384062645853
726962,145.3924,165,22.7805134445097
726970,145.394,165,14.0865442574234
726978,145.3956,165,12.1190338626127
726983,145.3966,170,9.28751008571088
726997,145.3994,165,9.97931763879823
726998,145.3996,160,6.08719268778071
727077,145.4154,160,42.2719684242482
727078,145.4156,165,8.49291644297755
727095,145.419,165,6.8667291327536
727096,145.4192,165,23.0939410457934
727097,145.4194,165,14.445110127109
727101,145.4202,165,8.77353871179726
727107,145.4214,165,15.6593273242867
727110,145.422,165,55.5359107430163
727111,145.4222,165,59.9348338353468
727112,145.4224,165,24.84879253209
727113,145.4226,165,78.7635285699753
727114,145.4228,165,31.8430673445936
727115,145.423,165,7.77862696140376
727118,145.4236,165,21.5689251094214
727119,145.4238,165,14.7540111838651
727255,145.451,165,15.8791904505332
728058,145.6116,165,9.58148992203683
728115,145.623,165,21.3689333157697
728139,145.6278,165,11.7291629113021
728366,145.6732,165,17.0262446966872
740946,148.1892,165,14.6972442388965
741520,148.304,160,5.55747939255076
741521,148.3042,165,208.164356798829
741522,148.3044,165,38.0553217406948
741523,148.3046,75,7.49073376433877
756359,151.2718,165,11.5698892787204
756360,151.272,175,18.9584044014257
765720,153.144,160,10.6019764429998
765721,153.1442,165,20.7873709257754
765722,153.1444,165,10.0479414954946
789402,157.8804,440,6.12573586075806
792394,158.4788,170,8.55933626591804
795313,159.0626,170,9.91038111940935
795333,159.0666,240,5.62578775909675
801485,160.297,165,6.04736792038039
801779,160.3558,170,8.63415367679747
803652,160.7304,240,15.0034791901787
819805,163.961,175,14.2012265356522
819806,163.9612,175,15.6606506854149
820406,164.0812,170,25.614947164066
820407,164.0814,125,28.9175084279111
820408,164.0816,130,8.6591545868662
820410,164.082,165,9.08726445508549
820411,164.0822,165,9.92080490237294
820475,164.095,170,34.6615432115482
820476,164.0952,175,21.5440102600656
820792,164.1584,165,18.6819024370889
820810,164.162,160,26.4316910246442
820811,164.1622,165,22.7211796649152
823101,164.6202,170,10.2308045542241
826461,165.2922,165,17.0489639409669
835180,167.036,170,55.9291585401818
835181,167.0362,165,94.2843293094432
835182,167.0364,125,35.5320566680341
835183,167.0366,180,9.66187412445952
835273,167.0546,240,204.060372443156
835274,167.0548,160,378.512786129273
835275,167.055,175,429.589754459127
835276,167.0552,175,104.010645389797
835277,167.0554,130,44.8853790087989
835278,167.0556,130,15.927689680806
835279,167.0558,165,15.2654558813245
848594,169.7188,170,21.4949807706426
856547,171.3094,160,20.385247077594
856548,171.3096,130,10.0746573356611
868057,173.6114,125,14.3616439770517
868910,173.782,155,8.6788610758338
868911,173.7822,165,14.0997799466904
875749,175.1498,170,90.3001089908294
875750,175.15,170,62.3615923549488
875751,175.1502,160,14.7724246317525
875752,175.1504,165,16.9606729080727
875757,175.1514,235,38.034618247148
875758,175.1516,165,133.488809976399
875759,175.1518,130,42.8747924265399
875760,175.152,130,17.037644799321
882595,176.519,165,29.1801252118264
882596,176.5192,180,16.3844360297859
915992,183.1984,240,5.01513528720055
934741,186.9482,165,16.7321722648542
934742,186.9484,125,28.4421071298784
934743,186.9486,180,10.0038235015304
937785,187.557,170,9.48571022781239
939020,187.804,170,11.429884358618
944193,188.8386,165,24.5574197045596
944194,188.8388,125,34.0218618382898
944195,188.839,180,18.3817463468783
944210,188.842,165,16.6787052204444
944236,188.8472,235,53.4635752422458
944237,188.8474,170,353.616088696779
944238,188.8476,180,112.719204458506
944239,188.8478,180,29.6975329263924
944240,188.848,180,13.456178356618
944275,188.855,170,45.9318227942607
944276,188.8552,165,22.6467916972408
945113,189.0226,155,8.87654695752265
945114,189.0228,170,62.1793463166382
945115,189.023,175,16.1039786528416
945723,189.1446,175,14.2677017931445
945724,189.1448,175,21.6528512284995
