file_name,candidate_window_count,selected_event_count,threshold
20221018_112803.mat,25125,3,0.000957678369057893
20221018_112808.mat,25125,148,0.00096547362397891
20221018_112813.mat,25125,790,0.00103014778396138
20221018_112818.mat,25125,824,0.00104972213845468
20221018_112823.mat,25125,661,0.0010337678653901
20221018_112828.mat,25125,617,0.00103378230569861
20221018_112833.mat,25125,576,0.00103269679101173
20221018_112838.mat,25125,569,0.00103383151784809
20221018_112843.mat,25125,588,0.00103939975319623
20221018_112848.mat,25125,610,0.00103954304810824
20221018_112853.mat,25125,552,0.00103854541073327
20221018_112858.mat,25125,519,0.00103322778934604
20221018_112903.mat,25125,542,0.00103720007892709
20221018_112908.mat,25125,574,0.00103544151955895
20221018_112913.mat,25125,314,0.00100884727525241
20221018_112918.mat,25125,298,0.00101167043708439
20221018_112923.mat,25125,285,0.00100665137187175
20221018_112928.mat,25125,441,0.00101224386352424
20221018_112933.mat,25125,472,0.00102044403185566
20221018_112938.mat,25125,501,0.00102194540462218
20221018_112943.mat,25125,806,0.00103631335285765
20221018_112948.mat,25125,811,0.00104065808805147
20221018_112953.mat,25125,1319,0.00107362955381715
20221018_112958.mat,25125,1753,0.00109630252468006
20221018_113003.mat,25125,2613,0.00113814521137244
20221018_113008.mat,25125,1720,0.00108263556160133
20221018_113013.mat,25125,1206,0.00105386955233616
20221018_113018.mat,25125,2248,0.00111151254205857
20221018_113023.mat,25125,1483,0.0010580417613443
20221018_113028.mat,25125,1137,0.00105038587939901
20221018_113033.mat,25125,752,0.0010334538925159
20221018_113038.mat,25125,1945,0.00111187506753705
20221018_113043.mat,25125,3485,0.00137915712117619
20221018_113048.mat,25125,2243,0.00112898660115178
20221018_113053.mat,25125,1965,0.0011410840771433
20221018_113058.mat,25125,1355,0.00108650041892622
20221018_113103.mat,25125,1502,0.00110830514057164
20221018_113108.mat,25125,3027,0.00129595091274052
20221018_113113.mat,25125,2576,0.00128604952331741
20221018_113118.mat,25125,2154,0.0012297305544034
20221018_113123.mat,25125,4647,0.00161104830761978
20221018_113128.mat,25125,3543,0.00519066038273318
20221018_113133.mat,25125,1584,0.00103747231295079
20221018_113138.mat,25125,37,0.000973002835878815
