event_index,time_s,peak_frequency_khz,peak_magnitude
115032,23.0064,290,5.02460744950463
115033,23.0066,180,19.8754869296999
196194,39.2388,160,9.7369349564004
217087,43.4174,230,19.4140450711367
229737,45.9474,165,20.0662224157152
229738,45.9476,165,14.6440594158781
264140,52.828,160,12.7686418055811
283964,56.7928,160,9.30504394640385
301805,60.361,160,40.4973995065432
308311,61.6622,160,34.0260718897193
308312,61.6624,160,33.8424212156089
378309,75.6618,230,30.154458063498
378310,75.662,170,6.09718715077921
391988,78.3976,160,6.55285659357371
391991,78.3982,160,19.4972277454823
392009,78.4018,170,5.74915844452536
397097,79.4194,160,10.1612345628545
400433,80.0866,160,7.20487532511471
401234,80.2468,160,9.21998629500128
410622,82.1244,160,14.3977849457489
422438,84.4876,160,9.67587844926043
423015,84.603,160,11.2315359581463
444344,88.8688,160,12.8454667121094
453135,90.627,160,15.1749536991051
464323,92.8646,160,20.4642121035868
473772,94.7544,160,5.51142513019562
506312,101.2624,160,12.0874400103324
528822,105.7644,160,14.6776642502098
528864,105.7728,165,20.6570257248392
528865,105.773,160,11.817930574787
530326,106.0652,160,9.55169898903999
531667,106.3334,160,13.1203932872062
531668,106.3336,160,9.23127947610932
534284,106.8568,160,11.8359536527169
546473,109.2946,160,11.6647075616008
558283,111.6566,160,23.7666857003798
567820,113.564,160,6.67295260142299
579497,115.8994,160,22.5528732138013
589658,117.9316,160,30.6399943007899
589659,117.9318,160,12.0301072056859
589728,117.9456,160,22.9941410035519
589729,117.9458,155,16.5884827468816
589753,117.9506,160,27.1867537537154
589917,117.9834,160,10.6513811613007
593411,118.6822,160,43.6212459486201
593412,118.6824,160,15.885724632964
603289,120.6578,160,12.3544437512503
604728,120.9456,155,14.3983527424382
606787,121.3574,155,8.5131181902554
606851,121.3702,160,72.8748974411195
606852,121.3704,160,41.1680439046955
606870,121.374,160,82.0124468482438
606871,121.3742,130,15.389176664519
607590,121.518,155,102.098868207502
607591,121.5182,160,19.8319747022418
610127,122.0254,160,23.2175343114828
611009,122.2018,160,8.08531458877071
622475,124.495,160,16.368096075397
624356,124.8712,160,12.5526981533855
624357,124.8714,160,18.7256949020952
626097,125.2194,160,34.261161951
626695,125.339,215,4.06657954701863
626696,125.3392,160,9.15744420508156
634126,126.8252,160,14.8817740288005
635382,127.0764,160,20.6145386896449
638350,127.67,160,33.126648560301
638351,127.6702,170,8.76765694366716
640230,128.046,160,10.1392255190029
640422,128.0844,160,17.5537137621186
640423,128.0846,160,7.95183784582935
640541,128.1082,155,33.3969215213437
640542,128.1084,160,216.498286181851
640543,128.1086,160,8.57825046797733
645777,129.1554,160,24.4733192601861
646015,129.203,160,8.16597746373192
646420,129.284,160,23.4764682550459
667342,133.4684,160,15.0631260025169
669844,133.9688,160,16.9515064207885
673393,134.6786,160,27.4494799188666
674105,134.821,160,8.4230983703848
674135,134.827,165,7.01613483974721
674136,134.8272,160,11.6615972029602
674180,134.836,160,13.574777510653
678766,135.7532,200,21.7441758611019
678767,135.7534,175,9.62621786329664
683653,136.7306,160,28.8495651603197
683991,136.7982,160,11.6472413400533
698223,139.6446,160,28.9462035560657
698714,139.7428,225,7.0496974345251
708543,141.7086,160,27.0326810064905
708544,141.7088,160,25.3978758537519
708912,141.7824,160,15.362303457517
710512,142.1024,160,28.452359224383
710513,142.1026,160,10.3827337449338
724445,144.889,160,17.5245044075142
724921,144.9842,160,8.80403745340088
725782,145.1564,155,22.084740770448
725783,145.1566,160,10.7188337765573
732162,146.4324,160,15.6400189219778
732163,146.4326,160,11.2065970018337
735289,147.0578,160,23.3591918301424
735719,147.1438,165,14.2882429058928
743314,148.6628,160,12.2401960066554
743432,148.6864,155,30.0817933991199
743433,148.6866,160,21.6995704076293
744929,148.9858,160,18.0397584437669
744986,148.9972,160,15.0533734840866
745500,149.1,160,13.1921971050435
746033,149.2066,230,9.42990251478731
747266,149.4532,160,13.7432652824867
754411,150.8822,160,64.1977005280835
754838,150.9676,165,15.1625288371907
754839,150.9678,175,17.0131265353795
758964,151.7928,160,32.3610490488328
759809,151.9618,160,11.2726908707795
759961,151.9922,160,9.69878611043282
763520,152.704,155,10.0752070115844
765110,153.022,165,8.05129888971852
765207,153.0414,160,13.2139554489014
765208,153.0416,160,11.6579637516387
765224,153.0448,160,8.99239776065695
765226,153.0452,170,8.62930068615701
765227,153.0454,160,29.755081571332
765228,153.0456,175,10.1512314791383
765231,153.0462,165,9.24695652100906
765239,153.0478,160,33.119064190826
765240,153.048,160,7.12611614699299
765251,153.0502,165,10.0860980805108
766346,153.2692,160,14.6585420680464
766909,153.3818,160,21.7569781993767
769790,153.958,160,9.35383935455684
769836,153.9672,160,10.2297828586368
770361,154.0722,160,15.2877353562158
772892,154.5784,160,19.5521025745975
772994,154.5988,160,11.2811991332762
772995,154.599,165,13.9673667917541
772996,154.5992,160,10.9587107999702
773302,154.6604,160,9.95224096343255
773321,154.6642,160,11.4241259084372
773366,154.6732,160,11.5985980006111
773389,154.6778,160,8.1748865124586
773396,154.6792,165,22.1207604614918
773397,154.6794,160,20.6193939974671
773403,154.6806,160,11.1266710789691
773404,154.6808,160,13.1388065863232
773405,154.681,160,16.1626475428527
773412,154.6824,160,35.9067050098521
773417,154.6834,160,8.82664480555908
